mode,team,strategy_id,strategy_name,games,win_rate,excellent_rate,avg_progress,avg_safety,avg_upgrade,avg_hazards,avg_turns,avg_redraws_used,avg_tasks_completed,loss_major_accident,loss_hazard_pressure,loss_hazard_overflow,loss_safety_zero,loss_upgrade_limit,loss_progress_shortfall,reward_clear_hazard,reward_recover_safety,reward_reduce_upgrade,reward_gain_redraw
standard,balanced+balanced,none,无策略,3000,0.5207,0.1897,3.44,3.453,0.537,1.28,5.85,1.336,3.44,0,108,60,391,10,869,2856,2811,3036,1616
standard,balanced+expert,none,无策略,3000,0.517,0.195,3.428,3.496,0.552,1.293,5.844,1.414,3.428,0,107,66,389,13,874,2819,2844,2968,1654
standard,balanced+learner,none,无策略,3000,0.522,0.1917,3.407,3.448,0.541,1.317,5.852,1.336,3.407,0,142,66,383,9,834,2821,2779,3012,1610
standard,balanced+reckless,none,无策略,3000,0.5263,0.1897,3.441,3.501,0.532,1.292,5.854,1.333,3.441,0,102,55,394,10,860,2913,2774,3016,1620
standard,balanced+safe,none,无策略,3000,0.5127,0.182,3.4,3.344,0.545,1.319,5.843,1.382,3.4,0,119,57,428,13,845,2872,2699,3028,1600
standard,expert+expert,none,无策略,3000,0.529,0.1933,3.438,3.4,0.553,1.296,5.839,1.411,3.438,0,110,67,418,7,811,2813,2718,3059,1724
standard,expert+learner,none,无策略,3000,0.5073,0.175,3.405,3.346,0.573,1.338,5.852,1.44,3.405,0,86,78,444,10,860,2870,2747,2987,1612
standard,expert+reckless,none,无策略,3000,0.5193,0.1983,3.426,3.495,0.522,1.247,5.843,1.405,3.426,0,113,59,394,17,859,2873,2765,3027,1613
standard,expert+safe,none,无策略,3000,0.5143,0.178,3.405,3.312,0.568,1.327,5.843,1.446,3.405,0,119,72,425,7,834,2831,2769,2933,1683
standard,learner+learner,none,无策略,3000,0.4823,0.1527,3.269,3.177,0.634,1.411,5.817,1.052,3.269,0,118,77,490,20,848,2781,2679,2776,1571
standard,learner+reckless,none,无策略,3000,0.4773,0.1657,3.317,3.27,0.61,1.368,5.829,1.037,3.317,0,126,76,430,14,922,2734,2636,2947,1634
standard,learner+safe,none,无策略,3000,0.505,0.1773,3.371,3.283,0.571,1.345,5.828,1.384,3.371,0,135,75,449,9,817,2776,2745,2983,1608
standard,reckless+reckless,none,无策略,3000,0.406,0.121,3.016,2.644,0.807,1.611,5.708,0.0,3.016,0,193,72,637,29,851,2556,2418,2608,1467
standard,reckless+safe,none,无策略,3000,0.5143,0.1913,3.4,3.389,0.548,1.325,5.827,1.368,3.4,0,122,74,432,10,819,2875,2702,2998,1625
standard,safe+safe,none,无策略,3000,0.5133,0.1807,3.392,3.301,0.586,1.336,5.825,1.395,3.392,0,135,76,421,8,820,2834,2781,2906,1654
teaching,balanced+balanced,none,无策略,3000,0.544,0.2243,3.542,4.512,0.287,1.248,5.913,1.444,3.542,0,52,113,205,6,992,3009,2943,3005,1668
challenge,balanced+balanced,none,无策略,3000,0.3163,0.055,2.775,1.067,0.826,2.126,6.566,1.13,2.775,0,215,257,1344,5,230,2381,2350,2275,1319
standard,balanced+balanced,stable_management,稳健管理,3000,0.54,0.2163,3.481,5.028,0.536,1.266,5.903,1.328,3.481,0,28,173,131,50,998,2938,2841,3016,1649
standard,balanced+balanced,efficiency_first,效率优先,3000,0.4877,0.312,4.168,3.548,0.909,1.167,5.746,1.323,3.394,0,62,77,304,230,864,2897,2720,2984,1581
standard,balanced+balanced,standards_first,规范先行,3000,0.5223,0.2,3.352,3.201,0.503,1.215,5.728,1.312,3.352,0,146,21,590,17,659,2785,2690,3016,1566
standard,balanced+balanced,risk_isolation,风险隔离,3000,0.5243,0.1763,3.485,3.648,0.508,1.233,5.879,1.442,3.485,0,0,111,327,11,978,2951,2824,3021,1660
